aws_acm_certificate_validation	acm
aws_ami_copy	ec2
aws_api_gateway_method_settings	apigateway
aws_api_gateway_rest_api_policy	apigateway
aws_appfabric_app_authorization_connection	appfabric
aws_apprunner_deployment	apprunner
aws_cloudtrail_organization_delegated_admin_account	cloudtrail
aws_cloudwatch_event_bus_policy	cloudwatch,cloudwatchevents
aws_cloudwatch_event_endpoint	cloudwatch,cloudwatchevents
aws_cloudwatch_event_permission	cloudwatch,cloudwatchevents
aws_db_snapshot_copy	rds
aws_directory_service_shared_directory_accepter	directoryservice
aws_dx_bgp_peer	directconnect
aws_dx_connection_confirmation	directconnect
aws_ebs_snapshot_copy	ec2
aws_ec2_transit_gateway_peering_attachment_accepter	ec2
aws_ec2_transit_gateway_vpc_attachment_accepter	ec2
aws_elb_attachment	elasticloadbalancing
aws_grafana_workspace_api_key	grafana
aws_guardduty_invite_accepter	guardduty
aws_iam_group_membership	iam
aws_iam_group_policy_attachments_exclusive	iam
aws_iam_policy_attachment	iam
aws_iam_role_policy_attachments_exclusive	iam
aws_iam_user_policy_attachments_exclusive	iam
aws_iot_policy_attachment	iot
aws_iot_thing_group_membership	iot
aws_kinesis_analytics_application	firehose,kinesis,kinesisvideo
aws_kms_ciphertext	kms
aws_lambda_invocation	lambda
aws_licensemanager_grant_accepter	licensemanager
aws_lightsail_disk_attachment	lightsail
aws_lightsail_lb_attachment	lightsail
aws_lightsail_lb_certificate_attachment	lightsail
aws_lightsail_lb_https_redirection_policy	lightsail
aws_lightsail_lb_stickiness_policy	lightsail
aws_lightsail_static_ip_attachment	lightsail
aws_ram_resource_share_accepter	ram
aws_ram_sharing_with_organization	ram
aws_rds_cluster_activity_stream	rds
aws_securityhub_invite_accepter	securityhub
aws_securitylake_subscriber_notification	securitylake
aws_ses_identity_policy	ses
aws_sesv2_email_identity_policy	sesv2
aws_sqs_queue_policy	sqs
aws_sqs_queue_redrive_allow_policy	sqs
aws_sqs_queue_redrive_policy	sqs
aws_vpc_endpoint_connection_accepter	ec2
aws_vpc_peering_connection_accepter	ec2
aws_wafregional_web_acl_association	wafregional
