aws_acm_certificate_validation	aws_acm_certificate	acm
aws_acmpca_certificate	aws_acmpca	acmpca
aws_ami_copy	aws_ami	ec2
aws_ami_from_instance	aws_ami	ec2
aws_ami_launch_permission	aws_ami	ec2
aws_amplify_domain_association	aws_amplify	amplify
aws_api_gateway_account	aws_api_gateway	apigateway
aws_api_gateway_method_settings	aws_api_gateway_method	apigateway
aws_api_gateway_rest_api_policy	aws_api_gateway_rest_api	apigateway
aws_appfabric_app_authorization_connection	aws_appfabric_app_authorization	appfabric
aws_apprunner_deployment	aws_apprunner	apprunner
aws_auditmanager_assessment_delegation	aws_auditmanager_assessment	auditmanager
aws_auditmanager_framework_share	aws_auditmanager_framework	auditmanager
aws_autoscaling_attachment	aws_autoscaling	autoscaling,ec2
aws_autoscaling_group_tag	aws_autoscaling_group	autoscaling,ec2
aws_autoscaling_notification	aws_autoscaling	autoscaling,ec2
aws_autoscaling_traffic_source_attachment	aws_autoscaling	autoscaling,ec2
aws_bedrockagent_agent_knowledge_base_association	aws_bedrockagent_agent	bedrockagent
aws_chime_voice_connector_logging	aws_chime_voice_connector	chimesdkvoice
aws_chimesdkvoice_global_settings	aws_chimesdkvoice	chimesdkvoice
aws_cloudformation_stack_instances	aws_cloudformation_stack	cloudformation
aws_cloudsearch_domain_service_access_policy	aws_cloudsearch_domain	cloudsearch
aws_cloudtrail_organization_delegated_admin_account	aws_cloudtrail	cloudtrail
aws_cloudwatch_event_bus_policy	aws_cloudwatch_event_bus	cloudwatch,cloudwatchevents
aws_cloudwatch_event_endpoint	aws_cloudwatch_event	cloudwatch,cloudwatchevents
aws_cloudwatch_event_permission	aws_cloudwatch_event	cloudwatch,cloudwatchevents
aws_codebuild_fleet	aws_codebuild	codebuild
aws_cognito_identity_pool_provider_principal_tag	aws_cognito_identity_pool	cognitoidentity,cognitoidentityprovider
aws_cognito_managed_user_pool_client	aws_cognito	cognitoidentity,cognitoidentityprovider
aws_connect_bot_association	aws_connect	connect
aws_controltower_control	aws_controltower	controltower
aws_customerprofiles_profile	aws_customerprofiles	customerprofiles
aws_dataexchange_revision	aws_dataexchange	dataexchange
aws_datazone_asset_type	aws_datazone	datazone
aws_datazone_form_type	aws_datazone	datazone
aws_datazone_glossary	aws_datazone	datazone
aws_datazone_glossary_term	aws_datazone	datazone
aws_datazone_user_profile	aws_datazone	datazone
aws_db_instance_automated_backups_replication	aws_db_instance	rds
aws_db_snapshot_copy	aws_db_snapshot	rds
aws_default_route_table	aws_default	ec2
aws_default_security_group	aws_default	ec2
aws_default_subnet	aws_default	ec2
